"orden_data01";"orden_oxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
161;161;90;"Torio";"Th";4;"IV";"Th1O2";"ThO_{2}";"Óxido de Torio";"Óxido de Torio (IV)";"DiÓxido de MonoTorio";"2Th + O_{2} \rightarrow 2ThO_{2}";"90 - Th - Torio"
162;162;91;"Protactinio";"Pa";4;"IV";"Pa1O2";"PaO_{2}";"Óxido Protactinioso";"Óxido de Protactinio (IV)";"DiÓxido de MonoProtactinio";"2Pa + O_{2} \rightarrow 2PaO_{2}";"91 - Pa - Protactinio"
163;163;91;"Protactinio";"Pa";5;"V";"Pa2O5";"Pa_{2}O_{5}";"Óxido Protactínico";"Óxido de Protactinio (V)";"PentaÓxido de DiProtactinio";"2Pa + O_{2} \rightarrow Pa_{2}O_{5}";"91 - Pa - Protactinio"
164;164;92;"Uranio";"U";3;"III";"U2O3";"U_{2}O_{3}";"Óxido HipoUranoso";"Óxido de Uranio (III)";"TriÓxido de DiUranio";"2U + O_{2} \rightarrow U_{2}O_{3}";"92 - U - Uranio"
165;165;92;"Uranio";"U";4;"IV";"U1O2";"UO_{2}";"Óxido Uranoso";"Óxido de Uranio (IV)";"DiÓxido de MonoUranio";"2U + O_{2} \rightarrow 2UO_{2}";"92 - U - Uranio"
166;166;92;"Uranio";"U";5;"V";"U2O5";"U_{2}O_{5}";"Óxido Uránico";"Óxido de Uranio (V)";"PentaÓxido de DiUranio";"2U + O_{2} \rightarrow U_{2}O_{5}";"92 - U - Uranio"
167;167;92;"Uranio";"U";6;"VI";"U1O3";"UO_{3}";"Óxido PerUránico";"Óxido de Uranio (VI)";"TriÓxido de MonoUranio";"2U + O_{2} \rightarrow 2UO_{3}";"92 - U - Uranio"
168;168;93;"Neptunio";"Np";3;"III";"Np2O3";"Np_{2}O_{3}";"Óxido HipoNeptunioso";"Óxido de Neptunio (III)";"TriÓxido de DiNeptunio";"2Np + O_{2} \rightarrow Np_{2}O_{3}";"93 - Np - Neptunio"
169;169;93;"Neptunio";"Np";4;"IV";"Np1O2";"NpO_{2}";"Óxido Neptunioso";"Óxido de Neptunio (IV)";"DiÓxido de MonoNeptunio";"2Np + O_{2} \rightarrow 2NpO_{2}";"93 - Np - Neptunio"
170;170;93;"Neptunio";"Np";5;"V";"Np2O5";"Np_{2}O_{5}";"Óxido Neptúnico";"Óxido de Neptunio (V)";"PentaÓxido de DiNeptunio";"2Np + O_{2} \rightarrow Np_{2}O_{5}";"93 - Np - Neptunio"
