"orden_data01";"orden_hidroxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
187;155;101;"Mendelevio";"Md";4;"IV";"Md1(OH)4";"Md(OH)_{4}";"Hidróxido Mendelévico";"Hidŕoxido de Mendelevio (IV)";"TetraHidróxido de MonoMendelevio";"MdO_{2} + 2H_{2}O \rightarrow Md(OH)_{4}";"101 - Md - Mendelevio"
188;156;102;"Nobelio";"No";3;"III";"No1(OH)3";"No(OH)_{3}";"Hidróxido Nobelioso";"Hidŕoxido de Nobelio (III)";"TriHidróxido de MonoNobelio";"No_{2}O_{3} + 3H_{2}O \rightarrow 2No(OH)_{3}";"102 - No - Nobelio"
189;157;102;"Nobelio";"No";4;"IV";"No1(OH)4";"No(OH)_{4}";"Hidróxido Nobélico";"Hidŕoxido de Nobelio (IV)";"TetraHidróxido de MonoNobelio";"NoO_{2} + 2H_{2}O \rightarrow No(OH)_{4}";"102 - No - Nobelio"
190;158;103;"Laurencio";"Lr";3;"III";"Lr1(OH)3";"Lr(OH)_{3}";"Hidróxido Laurencioso";"Hidŕoxido de Laurencio (III)";"TriHidróxido de MonoLaurencio";"Lr_{2}O_{3} + 3H_{2}O \rightarrow 2Lr(OH)_{3}";"103 - Lr - Laurencio"
191;159;103;"Laurencio";"Lr";4;"IV";"Lr1(OH)4";"Lr(OH)_{4}";"Hidróxido Lauréncico";"Hidŕoxido de Laurencio (IV)";"TetraHidróxido de MonoLaurencio";"LrO_{2} + 2H_{2}O \rightarrow Lr(OH)_{4}";"103 - Lr - Laurencio"
192;160;104;"Rutherfordio";"Rf";4;"IV";"Rf1(OH)4";"Rf(OH)_{4}";"Hidróxido de Rutherfordio";"Hidŕoxido de Rutherfordio (IV)";"TetraHidróxido de MonoRutherfordio";"RfO_{2} + 2H_{2}O \rightarrow Rf(OH)_{4}";"104 - Rf - Rutherfordio"
193;161;105;"Dubnio";"Db";4;"IV";"Db1(OH)4";"Db(OH)_{4}";"Hidróxido de Dubnio";"Hidŕoxido de Dubnio (IV)";"TetraHidróxido de MonoDubnio";"DbO_{2} + 2H_{2}O \rightarrow Db(OH)_{4}";"105 - Db - Dubnio"
194;162;106;"Seaborgio";"Sg";4;"IV";"Sg1(OH)4";"Sg(OH)_{4}";"Hidróxido de Seaborgio";"Hidŕoxido de Seaborgio (IV)";"TetraHidróxido de MonoSeaborgio";"SgO_{2} + 2H_{2}O \rightarrow Sg(OH)_{4}";"106 - Sg - Seaborgio"
195;163;107;"Bohrio";"Bh";3;"III";"Bh1(OH)3";"Bh(OH)_{3}";"Hidróxido HipoBohrioso";"Hidŕoxido de Bohrio (III)";"TriHidróxido de MonoBohrio";"Bh_{2}O_{3} + 3H_{2}O \rightarrow 2Bh(OH)_{3}";"107 - Bh - Bohrio"
196;164;107;"Bohrio";"Bh";4;"IV";"Bh1(OH)4";"Bh(OH)_{4}";"Hidróxido Bohrioso";"Hidŕoxido de Bohrio (IV)";"TetraHidróxido de MonoBohrio";"BhO_{2} + 2H_{2}O \rightarrow Bh(OH)_{4}";"107 - Bh - Bohrio"
197;165;107;"Bohrio";"Bh";5;"V";"Bh1(OH)5";"Bh(OH)_{5}";"Hidróxido Bóhrico";"Hidŕoxido de Bohrio (V)";"PentaHidróxido de MonoBohrio";"Bh_{2}O_{5} + 5H_{2}O \rightarrow 2Bh(OH)_{5}";"107 - Bh - Bohrio"
198;166;108;"Hassio";"Hs";2;"II";"Hs1(OH)2";"Hs(OH)_{2}";"Hidróxido HipoHassioso";"Hidŕoxido de Hassio (II)";"DiHidróxido de MonoHassio";"HsO + H_{2}O \rightarrow Hs(OH)_{2}";"108 - Hs - Hassio"
199;167;108;"Hassio";"Hs";4;"IV";"Hs1(OH)4";"Hs(OH)_{4}";"Hidróxido Hassioso";"Hidŕoxido de Hassio (IV)";"TetraHidróxido de MonoHassio";"HsO_{2} + 2H_{2}O \rightarrow Hs(OH)_{4}";"108 - Hs - Hassio"
200;168;108;"Hassio";"Hs";6;"VI";"Hs1(OH)6";"Hs(OH)_{6}";"Hidróxido Hássico";"Hidŕoxido de Hassio (VI)";"HexaHidróxido de MonoHassio";"HsO_{3} + 3H_{2}O \rightarrow Hs(OH)_{6}";"108 - Hs - Hassio"
201;169;108;"Hassio";"Hs";7;"VII";"Hs1(OH)7";"Hs(OH)_{7}";"Hidróxido PerHássico";"Hidŕoxido de Hassio (VII)";"HeptaHidróxido de MonoHassio";"Hs_{2}O_{7} + 7H_{2}O \rightarrow 2Hs(OH)_{7}";"108 - Hs - Hassio"
202;170;109;"Meitnerius";"Mt";2;"II";"Mt1(OH)2";"Mt(OH)_{2}";"Hidróxido HipoMeintnerioso";"Hidŕoxido de Meitnerius (II)";"DiHidróxido de MonoMeitnerius";"MtO + H_{2}O \rightarrow Mt(OH)_{2}";"109 - Mt - Meitnerius"
203;171;109;"Meitnerius";"Mt";3;"III";"Mt1(OH)3";"Mt(OH)_{3}";"Hidróxido Meintnerioso";"Hidŕoxido de Meitnerius (III)";"TriHidróxido de MonoMeitnerius";"Mt_{2}O_{3} + 3H_{2}O \rightarrow 2Mt(OH)_{3}";"109 - Mt - Meitnerius"
